"[u'robinson', u'phillies', u'dodgers', u'baseball', u'philadelphia', u'said', u'chapman', u'league', u'city', u'season', u'eig', u'robinsons', u'major', u'would', u'player', u'apology', u'later', u'resolution', u'one', u'knew', u'get', u'game', u'day', u'monarchs', u'jackie']",Non-Tech
"[u'islanders', u'arbour', u'coach', u'said', u'al', u'team', u'players', u'family', u'much', u'career', u'played', u'gillies', u'cup', u'arbours', u'stanley', u'huntington', u'won', u'would', u'days', u'first', u'win', u'one', u'service', u'former', u'straight']",Non-Tech
"[u'mr.', u'yankees', u'city', u'stadium', u'levine', u'new', u'public', u'brodsky', u'million', u'said', u'pay', u'subsidy', u'baseball', u'dont', u'revenue', u'federal', u'bonds', u'taxes', u'tax-exempt', u'bernie', u'known', u'tax', u'allowed', u'years', u'might']",Non-Tech
"[u'6-1', u'6-4', u'monte', u'nadal', u'muguruza', u'world', u'playoff', u'carlo', u'fed', u'group', u'title', u'monfils', u'4', u'beat', u'host', u'masters', u'surez', u'cup', u'halep', u'win', u'romania', u'ninth', u'7-6', u'novak', u'outdoor']",Non-Tech
"[u'dunn', u'said', u'team', u'player', u'dunns', u'national', u'im', u'game', u'states', u'united', u'johnston', u'hard', u'year', u'cup', u'like', u'goals', u'time', u'go', u'defender', u'would', u'every', u'years', u'still', u'23', u'soccer']",Non-Tech
"[u'video', u'lin', u'said', u'kuei', u'fans', u'media', u'letter', u'league', u'fouls', u'taiwan', u'n.b.a', u'wei', u'rules', u'foul', u'want', u'hard', u'attention', u'players', u'three', u'make', u'flagrant', u'lins', u'calls', u'referees', u'didnt']",Non-Tech
"[u'skating', u'said', u'figure', u'aidelbaum', u'skater', u'reinhart', u'hockey', u'n.h.l', u'bozak', u'training', u'league', u'players', u'ice', u'coach', u'skaters', u'sabres', u'vancouver', u'make', u'years', u'underhill', u'little', u'season', u'toronto', u'defenseman', u'marr']",Non-Tech
"[u'yankees', u'sabathia', u'runners', u'said', u'one', u'base', u'first', u'third', u'second', u'mariners', u'inning', u'fifth', u'scoring', u'ball', u'next', u'game', u'run', u'hernandez', u'rodriguez', u'innings', u'beltran', u'home', u'position', u'four', u'hit']",Non-Tech
"[u'female', u'tennis', u'men', u'women', u'male', u'among', u'major', u'bnp', u'another', u'paribas', u'less', u'money', u'cited', u'alongside', u'tournament', u'equally', u'one', u'states', u'slam', u'gender', u'raymond', u'still', u'open', u'event', u'significantly']",Non-Tech
"[u'``', u""''"", u""'s"", u'said', u'women', u'gibb', u'race', u'men', u'boston', u'running', u'run', u'would', u'marathon', u'first', u""n't"", u'way', u'woman', u'course', u'world', u'daughter', u'sports', u'allowed', u'went', u'wanted', u'could']",Non-Tech
"[u'league', u'top', u'points', u'villa', u'madrid', u'season', u'behind', u'sunderland', u'premier', u'place', u'barcelona', u'leagues', u'newcastle', u'gave', u'loss', u'victory', u'visiting', u'million', u'norwich', u'sunday', u'champions', u'napoli', u'ibrahimovic', u'united', u'goal']",Non-Tech
"[u'said', u'game', u'silver', u'league', u'n.b.a', u'carolina', u'would', u'north', u'all-star', u'gun', u'teams', u'issue', u'owners', u'logos', u'jerseys', u'sponsor', u'leagues', u'fans', u'team', u'program', u'situation', u'last', u'think', u'improving', u'vote']",Non-Tech
"[u'game', u'points', u'score', u'season', u'bryant', u'final', u'bryants', u'60', u'best', u'since', u'scored', u'came', u'considered', u'n.b.a', u'fans', u'daviss', u'shots', u'night', u'fewer', u'set', u'likely', u'statistic', u'many', u'davis', u'curry']",Non-Tech
"[u'larson', u'laps', u'final', u'kyle', u'win', u'soon', u'speedway', u'past', u'held', u'tennessee', u'erik', u'motor', u'busch', u'xfinity', u'series', u'200', u'led', u'race-high', u'flew', u'nascar', u'94', u'restart', u'jones', u'race', u'bristol']",Non-Tech
"[u'day', u'major', u'robinson', u'league', u'jackie', u'perseverance', u'often', u'show', u'civil', u'recognize', u'activists', u'year', u'back', u'years', u'states', u'color', u'incremental', u'thanks', u'pioneers', u'15', u'conscience', u'united', u'baseball', u'deeply', u'1947']",Non-Tech
"[u'curry', u'warriors', u'game', u'rockets', u'said', u'golden', u'houston', u'kerr', u'season', u'last', u'state', u'playoff', u'second', u'best', u'games', u'one', u'guard', u'three', u'states', u'good', u'points', u'coach', u'including', u'beverley', u'less']",Non-Tech
"[u'soccer', u'team', u'world', u'u.s.', u'national', u'cup', u'womens', u'federation', u'women', u'year', u'get', u'us', u'last', u'united', u'years', u'mens', u'right', u'players', u'states', u'money', u'yes', u'weve', u'went', u'million', u'equal']",Non-Tech
"[u'locker', u'said', u'room', u'visiting', u'arena', u'players', u'wizards', u'rooms', u'adams', u'sleep', u'train', u'one', u'teams', u'home', u'new', u'sessions', u'long', u'league', u'last', u'kings', u'center', u'team', u'gooden', u'lockers', u'warriors']",Non-Tech
"[u'said', u'college', u'olympic', u'athletes', u'ledecky', u'swimming', u'sports', u'make', u'franklin', u'money', u'really', u'pro', u'swim', u'would', u'music', u'bowman', u'dont', u'grenardo', u'n.c.a.a', u'even', u'university', u'year', u'could', u'student-athletes', u'one']",Non-Tech
"[u'new', u'coach', u'mexico', u'years', u'assistant', u'u.n.l.v', u'menzies', u'agreed', u'moved', u'states', u'sudden', u'basketball', u'agreeing', u'less', u'two', u'state', u'exit', u'marvin', u'weeks', u'tech', u'texas', u'five-year', u'ago', u'friday', u'swiftly']",Non-Tech
"[u'200', u'seconds', u'ledecky', u'phelps', u'won', u'free', u'finished', u'friis', u'1:57.90', u'third-fastest', u'series', u'pro', u'800-meter', u'individual', u'year', u'friday', u'100', u'katie', u'lotte', u'three', u'freestyle', u'touched', u'way', u'ariz.', u'8']",Non-Tech
